




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	Client Text Box Input (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	Client Text Box Input (1236)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
positive regulation of molecular function (GO:0044093)	1618	146	97.10	+	1.50	2.68E-06	3.04E-04
regulation of intracellular signal transduction (GO:1902531)	1839	162	110.37	+	1.47	2.77E-06	3.12E-04
regulation of phosphorylation (GO:0042325)	1391	129	83.48	+	1.55	2.91E-06	3.26E-04
signaling (GO:0023052)	5565	411	333.98	+	1.23	3.00E-06	3.34E-04
regulation of transport (GO:0051049)	1772	157	106.35	+	1.48	3.12E-06	3.45E-04
cellular response to stress (GO:0033554)	1741	154	104.49	+	1.47	4.31E-06	4.74E-04
positive regulation of phosphate metabolic process (GO:0045937)	998	99	59.89	+	1.65	4.43E-06	4.80E-04
regionalization (GO:0003002)	317	43	19.02	+	2.26	4.47E-06	4.81E-04
positive regulation of phosphorus metabolic process (GO:0010562)	998	99	59.89	+	1.65	4.43E-06	4.83E-04
cell part morphogenesis (GO:0032990)	526	61	31.57	+	1.93	4.66E-06	4.94E-04
plasma membrane bounded cell projection morphogenesis (GO:0120039)	503	59	30.19	+	1.95	4.63E-06	4.95E-04
positive regulation of catalytic activity (GO:0043085)	1240	117	74.42	+	1.57	4.80E-06	5.06E-04
cellular component organization or biogenesis (GO:0071840)	6006	437	360.45	+	1.21	5.02E-06	5.22E-04
positive regulation of cell development (GO:0010720)	300	41	18.00	+	2.28	5.00E-06	5.24E-04
negative regulation of cell population proliferation (GO:0008285)	703	75	42.19	+	1.78	5.85E-06	6.05E-04
cell communication (GO:0007154)	5656	414	339.44	+	1.22	6.31E-06	6.43E-04
regulation of growth (GO:0040008)	661	72	39.67	+	1.81	6.28E-06	6.44E-04
positive regulation of developmental growth (GO:0048639)	169	28	10.14	+	2.76	6.62E-06	6.71E-04
regulation of cellular protein metabolic process (GO:0032268)	2501	206	150.10	+	1.37	6.81E-06	6.86E-04
embryonic morphogenesis (GO:0048598)	570	64	34.21	+	1.87	7.05E-06	7.05E-04
positive regulation of protein modification process (GO:0031401)	1079	104	64.76	+	1.61	7.18E-06	7.14E-04
response to stimulus (GO:0050896)	8540	593	512.52	+	1.16	7.27E-06	7.18E-04
cell morphogenesis involved in differentiation (GO:0000904)	559	63	33.55	+	1.88	8.48E-06	8.33E-04
response to oxygen-containing compound (GO:1901700)	1604	142	96.26	+	1.48	9.00E-06	8.79E-04
regulation of protein phosphorylation (GO:0001932)	1218	114	73.10	+	1.56	9.50E-06	9.15E-04
regulation of molecular function (GO:0065009)	3118	247	187.13	+	1.32	9.44E-06	9.16E-04
regulation of phosphorus metabolic process (GO:0051174)	1578	140	94.70	+	1.48	9.85E-06	9.27E-04
regulation of cell development (GO:0060284)	500	58	30.01	+	1.93	9.94E-06	9.30E-04
cell projection organization (GO:0030030)	1221	114	73.28	+	1.56	9.79E-06	9.32E-04
regulation of phosphate metabolic process (GO:0019220)	1578	140	94.70	+	1.48	9.85E-06	9.33E-04
neuron projection morphogenesis (GO:0048812)	499	58	29.95	+	1.94	9.79E-06	9.37E-04
transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0007178)	191	30	11.46	+	2.62	1.04E-05	9.69E-04
negative regulation of gene expression (GO:0010629)	999	97	59.95	+	1.62	1.16E-05	1.07E-03
negative regulation of transcription by RNA polymerase II (GO:0000122)	906	90	54.37	+	1.66	1.18E-05	1.08E-03
plasma membrane bounded cell projection organization (GO:0120036)	1175	110	70.52	+	1.56	1.22E-05	1.11E-03
response to abiotic stimulus (GO:0009628)	1175	110	70.52	+	1.56	1.22E-05	1.11E-03
forebrain development (GO:0030900)	387	48	23.23	+	2.07	1.25E-05	1.13E-03
response to hypoxia (GO:0001666)	347	44	20.83	+	2.11	1.31E-05	1.17E-03
regulation of system process (GO:0044057)	585	64	35.11	+	1.82	1.41E-05	1.26E-03
regulation of cellular component movement (GO:0051270)	1032	99	61.94	+	1.60	1.56E-05	1.38E-03
positive regulation of gene expression (GO:0010628)	1169	109	70.16	+	1.55	1.55E-05	1.38E-03
odontogenesis (GO:0042476)	120	22	7.20	+	3.05	1.61E-05	1.41E-03
signal transduction (GO:0007165)	5227	383	313.70	+	1.22	1.75E-05	1.53E-03
movement of cell or subcellular component (GO:0006928)	1596	140	95.78	+	1.46	1.78E-05	1.54E-03
positive regulation of response to stimulus (GO:0048584)	2312	190	138.75	+	1.37	1.84E-05	1.59E-03
detection of stimulus involved in sensory perception (GO:0050906)	557	11	33.43	-	.33	1.86E-05	1.60E-03
tube development (GO:0035295)	856	85	51.37	+	1.65	1.88E-05	1.61E-03
respiratory tube development (GO:0030323)	177	28	10.62	+	2.64	2.03E-05	1.72E-03
positive regulation of cell projection organization (GO:0031346)	353	44	21.19	+	2.08	2.28E-05	1.93E-03
cell development (GO:0048468)	1646	143	98.78	+	1.45	2.31E-05	1.94E-03
regulation of cell motility (GO:2000145)	954	92	57.25	+	1.61	2.59E-05	2.13E-03
negative regulation of cytokine production (GO:0001818)	286	38	17.16	+	2.21	2.57E-05	2.14E-03
response to chemical (GO:0042221)	4381	327	262.92	+	1.24	2.59E-05	2.14E-03
regulation of protein kinase B signaling (GO:0051896)	235	33	14.10	+	2.34	2.57E-05	2.15E-03
regulation of Notch signaling pathway (GO:0008593)	106	20	6.36	+	3.14	2.68E-05	2.20E-03
regulation of axon extension (GO:0030516)	97	19	5.82	+	3.26	2.70E-05	2.20E-03
response to nitrogen compound (GO:1901698)	1101	103	66.08	+	1.56	2.77E-05	2.24E-03
regulation of cytokine production (GO:0001817)	748	76	44.89	+	1.69	2.90E-05	2.34E-03
cellular component morphogenesis (GO:0032989)	611	65	36.67	+	1.77	2.96E-05	2.37E-03
positive regulation of kinase activity (GO:0033674)	614	65	36.85	+	1.76	3.18E-05	2.54E-03
response to organonitrogen compound (GO:0010243)	1014	96	60.85	+	1.58	3.26E-05	2.59E-03
cellular macromolecule metabolic process (GO:0044260)	4909	360	294.61	+	1.22	3.40E-05	2.69E-03
cell morphogenesis involved in neuron differentiation (GO:0048667)	453	52	27.19	+	1.91	3.42E-05	2.69E-03
mammary gland development (GO:0030879)	128	22	7.68	+	2.86	3.83E-05	3.00E-03
response to stress (GO:0006950)	3626	276	217.61	+	1.27	4.21E-05	3.28E-03
biological_process (GO:0008150)	17851	1120	1071.32	+	1.05	4.34E-05	3.33E-03
axon development (GO:0061564)	421	49	25.27	+	1.94	4.30E-05	3.33E-03
Unclassified (UNCLASSIFIED)	2744	116	164.68	-	.70	4.34E-05	3.35E-03
regulation of cell growth (GO:0001558)	422	49	25.33	+	1.93	4.41E-05	3.36E-03
regulation of kinase activity (GO:0043549)	914	88	54.85	+	1.60	4.43E-05	3.37E-03
response to decreased oxygen levels (GO:0036293)	361	44	21.67	+	2.03	4.51E-05	3.41E-03
positive regulation of cell growth (GO:0030307)	166	26	9.96	+	2.61	4.60E-05	3.47E-03
lung alveolus development (GO:0048286)	43	12	2.58	+	4.65	4.67E-05	3.50E-03
response to wounding (GO:0009611)	543	59	32.59	+	1.81	4.78E-05	3.56E-03
tissue morphogenesis (GO:0048729)	545	59	32.71	+	1.80	4.94E-05	3.63E-03
regulation of cell migration (GO:0030334)	892	86	53.53	+	1.61	4.94E-05	3.65E-03
positive regulation of axonogenesis (GO:0050772)	84	17	5.04	+	3.37	4.93E-05	3.66E-03
regulation of extent of cell growth (GO:0061387)	112	20	6.72	+	2.98	5.32E-05	3.89E-03
positive regulation of protein kinase B signaling (GO:0051897)	181	27	10.86	+	2.49	5.49E-05	4.00E-03
regulation of blood circulation (GO:1903522)	278	36	16.68	+	2.16	6.04E-05	4.38E-03
regulation of protein modification process (GO:0031399)	1654	141	99.26	+	1.42	6.07E-05	4.38E-03
chordate embryonic development (GO:0043009)	613	64	36.79	+	1.74	6.21E-05	4.46E-03
regulation of cellular response to growth factor stimulus (GO:0090287)	299	38	17.94	+	2.12	6.48E-05	4.64E-03
positive regulation of protein kinase activity (GO:0045860)	539	58	32.35	+	1.79	6.61E-05	4.71E-03
regulation of locomotion (GO:0040012)	997	93	59.83	+	1.55	6.85E-05	4.86E-03
regulation of anatomical structure morphogenesis (GO:0022603)	967	91	58.03	+	1.57	6.99E-05	4.91E-03
lung development (GO:0030324)	173	26	10.38	+	2.50	6.97E-05	4.92E-03
regulation of axonogenesis (GO:0050770)	161	25	9.66	+	2.59	7.11E-05	4.98E-03
positive regulation of transferase activity (GO:0051347)	693	70	41.59	+	1.68	8.25E-05	5.75E-03
response to oxygen levels (GO:0070482)	388	45	23.29	+	1.93	8.47E-05	5.87E-03
gland development (GO:0048732)	414	47	24.85	+	1.89	9.30E-05	6.42E-03
regulation of protein kinase activity (GO:0045859)	802	78	48.13	+	1.62	9.75E-05	6.70E-03
positive regulation of Notch signaling pathway (GO:0045747)	55	13	3.30	+	3.94	9.81E-05	6.71E-03
regulation of neural precursor cell proliferation (GO:2000177)	90	17	5.40	+	3.15	1.04E-04	7.08E-03
circulatory system development (GO:0072359)	877	83	52.63	+	1.58	1.09E-04	7.39E-03
transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)	522	56	31.33	+	1.79	1.09E-04	7.39E-03
cellular localization (GO:0051641)	2985	230	179.14	+	1.28	1.19E-04	7.95E-03
cellular response to oxygen-containing compound (GO:1901701)	1075	98	64.52	+	1.52	1.18E-04	7.95E-03
positive regulation of intracellular signal transduction (GO:1902533)	1040	95	62.42	+	1.52	1.23E-04	8.15E-03
response to steroid hormone (GO:0048545)	285	36	17.10	+	2.10	1.23E-04	8.17E-03
regulation of cell adhesion (GO:0030155)	731	72	43.87	+	1.64	1.24E-04	8.19E-03
regulation of sodium ion transmembrane transport (GO:1902305)	66	14	3.96	+	3.53	1.45E-04	9.58E-03
regulation of protein serine/threonine kinase activity (GO:0071900)	493	53	29.59	+	1.79	1.51E-04	9.90E-03
regulation of transferase activity (GO:0051338)	1033	94	62.00	+	1.52	1.52E-04	9.96E-03
regulation of cardiac conduction (GO:1903779)	58	13	3.48	+	3.73	1.55E-04	1.00E-02
positive regulation of axon extension (GO:0045773)	42	11	2.52	+	4.36	1.55E-04	1.00E-02
positive regulation of cell migration (GO:0030335)	520	55	31.21	+	1.76	1.55E-04	1.01E-02
transforming growth factor beta receptor signaling pathway (GO:0007179)	103	18	6.18	+	2.91	1.57E-04	1.01E-02
embryo development ending in birth or egg hatching (GO:0009792)	633	64	37.99	+	1.68	1.58E-04	1.01E-02
cellular response to nitrogen compound (GO:1901699)	664	66	39.85	+	1.66	1.65E-04	1.05E-02
positive regulation of programmed cell death (GO:0043068)	575	59	34.51	+	1.71	1.64E-04	1.05E-02
cell migration (GO:0016477)	968	89	58.09	+	1.53	1.65E-04	1.05E-02
cell activation (GO:0001775)	1089	98	65.36	+	1.50	1.69E-04	1.06E-02
positive regulation of cell death (GO:0010942)	638	64	38.29	+	1.67	1.70E-04	1.07E-02
positive regulation of apoptotic process (GO:0043065)	560	58	33.61	+	1.73	1.83E-04	1.14E-02
cell junction organization (GO:0034330)	502	53	30.13	+	1.76	1.83E-04	1.14E-02
molting cycle process (GO:0022404)	77	15	4.62	+	3.25	1.94E-04	1.18E-02
hair cycle process (GO:0022405)	77	15	4.62	+	3.25	1.94E-04	1.19E-02
cell motility (GO:0048870)	1109	99	66.56	+	1.49	1.93E-04	1.19E-02
skin epidermis development (GO:0098773)	77	15	4.62	+	3.25	1.94E-04	1.19E-02
localization of cell (GO:0051674)	1109	99	66.56	+	1.49	1.93E-04	1.20E-02
response to peptide (GO:1901652)	488	52	29.29	+	1.78	2.05E-04	1.25E-02
regulation of heart contraction (GO:0008016)	230	30	13.80	+	2.17	2.08E-04	1.26E-02
positive regulation of peptidyl-tyrosine phosphorylation (GO:0050731)	198	27	11.88	+	2.27	2.17E-04	1.31E-02
regulation of cell size (GO:0008361)	185	26	11.10	+	2.34	2.21E-04	1.33E-02
positive regulation of cell population proliferation (GO:0008284)	939	86	56.35	+	1.53	2.33E-04	1.40E-02
negative regulation of transcription by competitive promoter binding (GO:0010944)	11	6	.66	+	9.09	2.34E-04	1.40E-02
negative regulation of Wnt signaling pathway (GO:0030178)	219	29	13.14	+	2.21	2.38E-04	1.42E-02
sensory organ development (GO:0007423)	555	57	33.31	+	1.71	2.45E-04	1.45E-02
cellular macromolecule localization (GO:0070727)	1480	125	88.82	+	1.41	2.54E-04	1.50E-02
positive regulation of cellular component movement (GO:0051272)	558	57	33.49	+	1.70	2.58E-04	1.51E-02
positive regulation of locomotion (GO:0040017)	560	57	33.61	+	1.70	2.68E-04	1.56E-02
axon guidance (GO:0007411)	277	34	16.62	+	2.05	2.67E-04	1.56E-02
regulation of sodium ion transport (GO:0002028)	89	16	5.34	+	3.00	2.70E-04	1.57E-02
tooth mineralization (GO:0034505)	17	7	1.02	+	6.86	2.71E-04	1.57E-02
neuron projection guidance (GO:0097485)	278	34	16.68	+	2.04	2.76E-04	1.59E-02
heart development (GO:0007507)	535	55	32.11	+	1.71	2.77E-04	1.59E-02
negative regulation of cellular response to growth factor stimulus (GO:0090288)	109	18	6.54	+	2.75	2.91E-04	1.66E-02
embryonic organ development (GO:0048568)	435	47	26.11	+	1.80	2.92E-04	1.67E-02
cellular protein localization (GO:0034613)	1470	124	88.22	+	1.41	3.02E-04	1.72E-02
regulation of catalytic activity (GO:0050790)	2433	190	146.02	+	1.30	3.07E-04	1.73E-02
ventricular cardiac muscle tissue morphogenesis (GO:0055010)	46	11	2.76	+	3.98	3.05E-04	1.73E-02
